fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
3301,NH,01,"New Hampshire Congressional District 1",,,,,"Chris Pappas","Democrat","https://environmentalenforcementwatch.org/report_cards/NH01_2024.pdf"
4503,SC,03,"South Carolina Congressional District 3",,,,,"Jeff Duncan","Republican","https://environmentalenforcementwatch.org/report_cards/SC03_2024.pdf"
0101,AL,01,"Alabama Congressional District 1",,,,,"Jerry L. Carl","Republican","https://environmentalenforcementwatch.org/report_cards/AL01_2024.pdf"
2201,LA,01,"Louisiana Congressional District 1",,,,,"Steve Scalise","Republican","https://environmentalenforcementwatch.org/report_cards/LA01_2024.pdf"
5306,WA,06,"Washington Congressional District 6",,,,,"Derek Kilmer","Democrat","https://environmentalenforcementwatch.org/report_cards/WA06_2024.pdf"
0501,AR,01,"Arkansas Congressional District 1",,,,,"Eric A. &quot;Rick&quot; Crawford","Republican","https://environmentalenforcementwatch.org/report_cards/AR01_2024.pdf"
2501,MA,01,"Massachusetts Congressional District 1",,,,,"Richard E. Neal","Democrat","https://environmentalenforcementwatch.org/report_cards/MA01_2024.pdf"
2503,MA,03,"Massachusetts Congressional District 3",,,,,"Lori Trahan","Democrat","https://environmentalenforcementwatch.org/report_cards/MA03_2024.pdf"
2801,MS,01,"Mississippi Congressional District 1",,,,,"Trent Kelly","Republican","https://environmentalenforcementwatch.org/report_cards/MS01_2024.pdf"
3603,NY,03,"New York Congressional District 3",,,,,"George Santos","Republican","https://environmentalenforcementwatch.org/report_cards/NY03_2024.pdf"
0610,CA,10,"California Congressional District 10",,,,,"Mark DeSaulnier","Democrat","https://environmentalenforcementwatch.org/report_cards/CA10_2024.pdf"
0633,CA,33,"California Congressional District 33",,,,,"Pete Aguilar","Democrat","https://environmentalenforcementwatch.org/report_cards/CA33_2024.pdf"
5505,WI,05,"Wisconsin Congressional District 5",,,,,"Scott Fitzgerald","Republican","https://environmentalenforcementwatch.org/report_cards/WI05_2024.pdf"
7898,VI,98,"Virgin Islands Delegate District (at Large)",,,,,"Stacey E. Plaskett","Democrat","https://environmentalenforcementwatch.org/report_cards/VI00_2024.pdf"
0612,CA,12,"California Congressional District 12",,,,,"Barbara Lee","Democrat","https://environmentalenforcementwatch.org/report_cards/CA12_2024.pdf"
0606,CA,06,"California Congressional District 6",,,,,"Ami Bera","Democrat","https://environmentalenforcementwatch.org/report_cards/CA06_2024.pdf"
0503,AR,03,"Arkansas Congressional District 3",,,,,"Steve Womack","Republican","https://environmentalenforcementwatch.org/report_cards/AR03_2024.pdf"
1704,IL,04,"Illinois Congressional District 4",,,,,"Jesús G. &quot;Chuy&quot; García","Democrat","https://environmentalenforcementwatch.org/report_cards/IL04_2024.pdf"
3903,OH,03,"Ohio Congressional District 3",,,,,"Joyce Beatty","Democrat","https://environmentalenforcementwatch.org/report_cards/OH03_2024.pdf"
4210,PA,10,"Pennsylvania Congressional District 10",,,,,"Scott Perry","Republican","https://environmentalenforcementwatch.org/report_cards/PA10_2024.pdf"
1314,GA,14,"Georgia Congressional District 14",,,,,"Marjorie Taylor Greene","Republican","https://environmentalenforcementwatch.org/report_cards/GA14_2024.pdf"
2103,KY,03,"Kentucky Congressional District 3",,,,,"Morgan McGarvey","Democrat","https://environmentalenforcementwatch.org/report_cards/KY03_2024.pdf"
3602,NY,02,"New York Congressional District 2",,,,,"Andrew R. Garbarino","Republican","https://environmentalenforcementwatch.org/report_cards/NY02_2024.pdf"
5103,VA,03,"Virginia Congressional District 3",,,,,"Robert C. &quot;Bobby&quot; Scott","Democrat","https://environmentalenforcementwatch.org/report_cards/VA03_2024.pdf"
3622,NY,22,"New York Congressional District 22",,,,,"Brandon Williams","Republican","https://environmentalenforcementwatch.org/report_cards/NY22_2024.pdf"
3710,NC,10,"North Carolina Congressional District 10",,,,,"Patrick T. McHenry","Republican","https://environmentalenforcementwatch.org/report_cards/NC10_2024.pdf"
0614,CA,14,"California Congressional District 14",,,,,"Eric Swalwell","Democrat","https://environmentalenforcementwatch.org/report_cards/CA14_2024.pdf"
0901,CT,01,"Connecticut Congressional District 1",,,,,"John B. Larson","Democrat","https://environmentalenforcementwatch.org/report_cards/CT01_2024.pdf"
2402,MD,02,"Maryland Congressional District 2",,,,,"C. A. Dutch Ruppersberger","Democrat","https://environmentalenforcementwatch.org/report_cards/MD02_2024.pdf"
3410,NJ,10,"New Jersey Congressional District 10",,,,,"Donald M. Payne, Jr.","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ10_2024.pdf"
