fips,state_code,district_code,name,senator_1,senator_1_party,senator_2,senator_2_party,representative,representative_party,report_link
2505,MA,05,"Massachusetts Congressional District 5",,,,,"Katherine M. Clark","Democrat","https://environmentalenforcementwatch.org/report_cards/MA05_2024.pdf"
2506,MA,06,"Massachusetts Congressional District 6",,,,,"Seth Moulton","Democrat","https://environmentalenforcementwatch.org/report_cards/MA06_2024.pdf"
2502,MA,02,"Massachusetts Congressional District 2",,,,,"James P. McGovern","Democrat","https://environmentalenforcementwatch.org/report_cards/MA02_2024.pdf"
3908,OH,08,"Ohio Congressional District 8",,,,,"Warren Davidson","Republican","https://environmentalenforcementwatch.org/report_cards/OH08_2024.pdf"
3914,OH,14,"Ohio Congressional District 14",,,,,"David P. Joyce","Republican","https://environmentalenforcementwatch.org/report_cards/OH14_2024.pdf"
3912,OH,12,"Ohio Congressional District 12",,,,,"Troy Balderson","Republican","https://environmentalenforcementwatch.org/report_cards/OH12_2024.pdf"
4820,TX,20,"Texas Congressional District 20",,,,,"Joaquin Castro","Democrat","https://environmentalenforcementwatch.org/report_cards/TX20_2024.pdf"
1223,FL,23,"Florida Congressional District 23",,,,,"Jared Moskowitz","Democrat","https://environmentalenforcementwatch.org/report_cards/FL23_2024.pdf"
1804,IN,04,"Indiana Congressional District 4",,,,,"James R. Baird","Republican","https://environmentalenforcementwatch.org/report_cards/IN04_2024.pdf"
0637,CA,37,"California Congressional District 37",,,,,"Sydney Kamlager-Dove","Democrat","https://environmentalenforcementwatch.org/report_cards/CA37_2024.pdf"
1305,GA,05,"Georgia Congressional District 5",,,,,"Nikema Williams","Democrat","https://environmentalenforcementwatch.org/report_cards/GA05_2024.pdf"
3606,NY,06,"New York Congressional District 6",,,,,"Grace Meng","Democrat","https://environmentalenforcementwatch.org/report_cards/NY06_2024.pdf"
3702,NC,02,"North Carolina Congressional District 2",,,,,"Deborah K. Ross","Democrat","https://environmentalenforcementwatch.org/report_cards/NC02_2024.pdf"
0105,AL,05,"Alabama Congressional District 5",,,,,"Dale W. Strong","Republican","https://environmentalenforcementwatch.org/report_cards/AL05_2024.pdf"
3405,NJ,05,"New Jersey Congressional District 5",,,,,"Josh Gottheimer","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ05_2024.pdf"
0409,AZ,09,"Arizona Congressional District 9",,,,,"Paul A. Gosar","Republican","https://environmentalenforcementwatch.org/report_cards/AZ09_2024.pdf"
4214,PA,14,"Pennsylvania Congressional District 14",,,,,"Guy Reschenthaler","Republican","https://environmentalenforcementwatch.org/report_cards/PA14_2024.pdf"
0622,CA,22,"California Congressional District 22",,,,,"David G. Valadao","Republican","https://environmentalenforcementwatch.org/report_cards/CA22_2024.pdf"
1218,FL,18,"Florida Congressional District 18",,,,,"C. Scott Franklin","Republican","https://environmentalenforcementwatch.org/report_cards/FL18_2024.pdf"
4802,TX,02,"Texas Congressional District 2",,,,,"Dan Crenshaw","Republican","https://environmentalenforcementwatch.org/report_cards/TX02_2024.pdf"
1208,FL,08,"Florida Congressional District 8",,,,,"Bill Posey","Republican","https://environmentalenforcementwatch.org/report_cards/FL08_2024.pdf"
1802,IN,02,"Indiana Congressional District 2",,,,,"Rudy Yakym III","Republican","https://environmentalenforcementwatch.org/report_cards/IN02_2024.pdf"
2902,MO,02,"Missouri Congressional District 2",,,,,"Ann Wagner","Republican","https://environmentalenforcementwatch.org/report_cards/MO02_2024.pdf"
3905,OH,05,"Ohio Congressional District 5",,,,,"Robert E. Latta","Republican","https://environmentalenforcementwatch.org/report_cards/OH05_2024.pdf"
1708,IL,08,"Illinois Congressional District 8",,,,,"Raja Krishnamoorthi","Democrat","https://environmentalenforcementwatch.org/report_cards/IL08_2024.pdf"
4212,PA,12,"Pennsylvania Congressional District 12",,,,,"Summer L. Lee","Democrat","https://environmentalenforcementwatch.org/report_cards/PA12_2024.pdf"
0652,CA,52,"California Congressional District 52",,,,,"Juan Vargas","Democrat","https://environmentalenforcementwatch.org/report_cards/CA52_2024.pdf"
2610,MI,10,"Michigan Congressional District 10",,,,,"John James","Republican","https://environmentalenforcementwatch.org/report_cards/MI10_2024.pdf"
0646,CA,46,"California Congressional District 46",,,,,"J. Luis Correa","Democrat","https://environmentalenforcementwatch.org/report_cards/CA46_2024.pdf"
0629,CA,29,"California Congressional District 29",,,,,"Tony Cárdenas","Democrat","https://environmentalenforcementwatch.org/report_cards/CA29_2024.pdf"
2706,MN,06,"Minnesota Congressional District 6",,,,,"Tom Emmer","Republican","https://environmentalenforcementwatch.org/report_cards/MN06_2024.pdf"
4202,PA,02,"Pennsylvania Congressional District 2",,,,,"Brendan F. Boyle","Democrat","https://environmentalenforcementwatch.org/report_cards/PA02_2024.pdf"
0632,CA,32,"California Congressional District 32",,,,,"Brad Sherman","Democrat","https://environmentalenforcementwatch.org/report_cards/CA32_2024.pdf"
1216,FL,16,"Florida Congressional District 16",,,,,"Vern Buchanan","Republican","https://environmentalenforcementwatch.org/report_cards/FL16_2024.pdf"
1711,IL,11,"Illinois Congressional District 11",,,,,"Bill Foster","Democrat","https://environmentalenforcementwatch.org/report_cards/IL11_2024.pdf"
4211,PA,11,"Pennsylvania Congressional District 11",,,,,"Lloyd Smucker","Republican","https://environmentalenforcementwatch.org/report_cards/PA11_2024.pdf"
4205,PA,05,"Pennsylvania Congressional District 5",,,,,"Mary Gay Scanlon","Democrat","https://environmentalenforcementwatch.org/report_cards/PA05_2024.pdf"
4812,TX,12,"Texas Congressional District 12",,,,,"Kay Granger","Republican","https://environmentalenforcementwatch.org/report_cards/TX12_2024.pdf"
5107,VA,07,"Virginia Congressional District 7",,,,,"Abigail Davis Spanberger","Democrat","https://environmentalenforcementwatch.org/report_cards/VA07_2024.pdf"
3605,NY,05,"New York Congressional District 5",,,,,"Gregory W. Meeks","Democrat","https://environmentalenforcementwatch.org/report_cards/NY05_2024.pdf"
3901,OH,01,"Ohio Congressional District 1",,,,,"Greg Landsman","Democrat","https://environmentalenforcementwatch.org/report_cards/OH01_2024.pdf"
0617,CA,17,"California Congressional District 17",,,,,"Ro Khanna","Democrat","https://environmentalenforcementwatch.org/report_cards/CA17_2024.pdf"
0621,CA,21,"California Congressional District 21",,,,,"Jim Costa","Democrat","https://environmentalenforcementwatch.org/report_cards/CA21_2024.pdf"
0806,CO,06,"Colorado Congressional District 6",,,,,"Jason Crow","Democrat","https://environmentalenforcementwatch.org/report_cards/CO06_2024.pdf"
2106,KY,06,"Kentucky Congressional District 6",,,,,"Andy Barr","Republican","https://environmentalenforcementwatch.org/report_cards/KY06_2024.pdf"
2404,MD,04,"Maryland Congressional District 4",,,,,"Glenn Ivey","Democrat","https://environmentalenforcementwatch.org/report_cards/MD04_2024.pdf"
2905,MO,05,"Missouri Congressional District 5",,,,,"Emanuel Cleaver","Democrat","https://environmentalenforcementwatch.org/report_cards/MO05_2024.pdf"
3604,NY,04,"New York Congressional District 4",,,,,"Anthony D’Esposito","Republican","https://environmentalenforcementwatch.org/report_cards/NY04_2024.pdf"
3613,NY,13,"New York Congressional District 13",,,,,"Adriano Espaillat","Democrat","https://environmentalenforcementwatch.org/report_cards/NY13_2024.pdf"
1198,DC,98,"District of Columbia Delegate District (at Large)",,,,,"Eleanor Holmes Norton","Democrat","https://environmentalenforcementwatch.org/report_cards/DC00_2024.pdf"
3913,OH,13,"Ohio Congressional District 13",,,,,"Emilia Strong Sykes","Democrat","https://environmentalenforcementwatch.org/report_cards/OH13_2024.pdf"
0611,CA,11,"California Congressional District 11",,,,,"Nancy Pelosi","Democrat","https://environmentalenforcementwatch.org/report_cards/CA11_2024.pdf"
2611,MI,11,"Michigan Congressional District 11",,,,,"Haley M. Stevens","Democrat","https://environmentalenforcementwatch.org/report_cards/MI11_2024.pdf"
0627,CA,27,"California Congressional District 27",,,,,"Mike Garcia","Republican","https://environmentalenforcementwatch.org/report_cards/CA27_2024.pdf"
1224,FL,24,"Florida Congressional District 24",,,,,"Frederica S. Wilson","Democrat","https://environmentalenforcementwatch.org/report_cards/FL24_2024.pdf"
3611,NY,11,"New York Congressional District 11",,,,,"Nicole Malliotakis","Republican","https://environmentalenforcementwatch.org/report_cards/NY11_2024.pdf"
0636,CA,36,"California Congressional District 36",,,,,"Ted Lieu","Democrat","https://environmentalenforcementwatch.org/report_cards/CA36_2024.pdf"
4206,PA,06,"Pennsylvania Congressional District 6",,,,,"Chrissy Houlahan","Democrat","https://environmentalenforcementwatch.org/report_cards/PA06_2024.pdf"
5104,VA,04,"Virginia Congressional District 4",,,,,"Jennifer L. McClellan","Democrat","https://environmentalenforcementwatch.org/report_cards/VA04_2024.pdf"
4808,TX,08,"Texas Congressional District 8",,,,,"Morgan Luttrell","Republican","https://environmentalenforcementwatch.org/report_cards/TX08_2024.pdf"
1801,IN,01,"Indiana Congressional District 1",,,,,"Frank J. Mrvan","Democrat","https://environmentalenforcementwatch.org/report_cards/IN01_2024.pdf"
0651,CA,51,"California Congressional District 51",,,,,"Sara Jacobs","Democrat","https://environmentalenforcementwatch.org/report_cards/CA51_2024.pdf"
4904,UT,04,"Utah Congressional District 4",,,,,"Burgess Owens","Republican","https://environmentalenforcementwatch.org/report_cards/UT04_2024.pdf"
0103,AL,03,"Alabama Congressional District 3",,,,,"Mike Rogers","Republican","https://environmentalenforcementwatch.org/report_cards/AL03_2024.pdf"
0638,CA,38,"California Congressional District 38",,,,,"Linda T. Sánchez","Democrat","https://environmentalenforcementwatch.org/report_cards/CA38_2024.pdf"
2612,MI,12,"Michigan Congressional District 12",,,,,"Rashida Tlaib","Democrat","https://environmentalenforcementwatch.org/report_cards/MI12_2024.pdf"
3411,NJ,11,"New Jersey Congressional District 11",,,,,"Mikie Sherrill","Democrat","https://environmentalenforcementwatch.org/report_cards/NJ11_2024.pdf"
4830,TX,30,"Texas Congressional District 30",,,,,"Jasmine Crockett","Democrat","https://environmentalenforcementwatch.org/report_cards/TX30_2024.pdf"
0403,AZ,03,"Arizona Congressional District 3",,,,,"Ruben Gallego","Democrat","https://environmentalenforcementwatch.org/report_cards/AZ03_2024.pdf"
1206,FL,06,"Florida Congressional District 6",,,,,"Michael Waltz","Republican","https://environmentalenforcementwatch.org/report_cards/FL06_2024.pdf"
1706,IL,06,"Illinois Congressional District 6",,,,,"Sean Casten","Democrat","https://environmentalenforcementwatch.org/report_cards/IL06_2024.pdf"
1307,GA,07,"Georgia Congressional District 7",,,,,"Lucy McBath","Democrat","https://environmentalenforcementwatch.org/report_cards/GA07_2024.pdf"
3614,NY,14,"New York Congressional District 14",,,,,"Alexandria Ocasio-Cortez","Democrat","https://environmentalenforcementwatch.org/report_cards/NY14_2024.pdf"
5504,WI,04,"Wisconsin Congressional District 4",,,,,"Gwen Moore","Democrat","https://environmentalenforcementwatch.org/report_cards/WI04_2024.pdf"
3904,OH,04,"Ohio Congressional District 4",,,,,"Jim Jordan","Republican","https://environmentalenforcementwatch.org/report_cards/OH04_2024.pdf"
1226,FL,26,"Florida Congressional District 26",,,,,"Mario Diaz-Balart","Republican","https://environmentalenforcementwatch.org/report_cards/FL26_2024.pdf"
3915,OH,15,"Ohio Congressional District 15",,,,,"Mike Carey","Republican","https://environmentalenforcementwatch.org/report_cards/OH15_2024.pdf"
3907,OH,07,"Ohio Congressional District 7",,,,,"Max L. Miller","Republican","https://environmentalenforcementwatch.org/report_cards/OH07_2024.pdf"
4702,TN,02,"Tennessee Congressional District 2",,,,,"Tim Burchett","Republican","https://environmentalenforcementwatch.org/report_cards/TN02_2024.pdf"
4901,UT,01,"Utah Congressional District 1",,,,,"Blake D. Moore","Republican","https://environmentalenforcementwatch.org/report_cards/UT01_2024.pdf"
2613,MI,13,"Michigan Congressional District 13",,,,,"Shri Thanedar","Democrat","https://environmentalenforcementwatch.org/report_cards/MI13_2024.pdf"
2603,MI,03,"Michigan Congressional District 3",,,,,"Hillary J. Scholten","Democrat","https://environmentalenforcementwatch.org/report_cards/MI03_2024.pdf"
2604,MI,04,"Michigan Congressional District 4",,,,,"Bill Huizenga","Republican","https://environmentalenforcementwatch.org/report_cards/MI04_2024.pdf"
2602,MI,02,"Michigan Congressional District 2",,,,,"John R. Moolenaar","Republican","https://environmentalenforcementwatch.org/report_cards/MI02_2024.pdf"
2607,MI,07,"Michigan Congressional District 7",,,,,"Elissa Slotkin","Democrat","https://environmentalenforcementwatch.org/report_cards/MI07_2024.pdf"
5301,WA,01,"Washington Congressional District 1",,,,,"Suzan K. DelBene","Democrat","https://environmentalenforcementwatch.org/report_cards/WA01_2024.pdf"
5310,WA,10,"Washington Congressional District 10",,,,,"Marilyn Strickland","Democrat","https://environmentalenforcementwatch.org/report_cards/WA10_2024.pdf"
5307,WA,07,"Washington Congressional District 7",,,,,"Pramila Jayapal","Democrat","https://environmentalenforcementwatch.org/report_cards/WA07_2024.pdf"
2403,MD,03,"Maryland Congressional District 3",,,,,"John P. Sarbanes","Democrat","https://environmentalenforcementwatch.org/report_cards/MD03_2024.pdf"
0634,CA,34,"California Congressional District 34",,,,,"Jimmy Gomez","Democrat","https://environmentalenforcementwatch.org/report_cards/CA34_2024.pdf"
0639,CA,39,"California Congressional District 39",,,,,"Mark Takano","Democrat","https://environmentalenforcementwatch.org/report_cards/CA39_2024.pdf"
2702,MN,02,"Minnesota Congressional District 2",,,,,"Angie Craig","Democrat","https://environmentalenforcementwatch.org/report_cards/MN02_2024.pdf"
4106,OR,06,"Oregon Congressional District 6",,,,,"Andrea Salinas","Democrat","https://environmentalenforcementwatch.org/report_cards/OR06_2024.pdf"
